,A,B
0, H C E E C E,88
0, H C E E H C,0
0, H C E E H H,71
0, H C E E H E,0
0, H C E E E C,2705
0, H C E E E H,33
0, H C E E E E,7306
0, H H C C C C,582567
0, H H C C C H,63791
0, H H C C C E,97065
0, H H C C H C,1494
0, H H C C H H,51198
0, H H C C H E,31
0, H H C C E C,2136
0, H H C C E H,87
0, H H C C E E,39817
0, H H C H C C,2277
0, H H C H C H,582
0, H H C H C E,37
0, H H C H H C,2272
0, H H C H H H,41594
0, H H C H H E,62
0, H H C H E C,0
0, H H C H E H,0
0, H H C H E E,46
0, H H C E C C,1870
0, H H C E C H,191
0, H H C E C E,100
0, H H C E H C,0
0, H H C E H H,11
0, H H C E H E,0
0, H H C E E C,2830
0, H H C E E H,68
0, H H C E E E,9432
0, H H H C C C,725636
0, H H H C C H,50854
0, H H H C C E,40518
0, H H H C H C,2742
0, H H H C H H,42059
0, H H H C H E,44
0, H H H C E C,1921
0, H H H C E H,9
0, H H H C E E,10859
0, H H H H C C,739248
0, H H H H C H,39407
0, H H H H C E,7271
0, H H H H H C,735747
0, H H H H H H,1250054
0, H H H H H E,4670
0, H H H H E C,1113
0, H H H H E H,49
0, H H H H E E,4700
0, H H H E C C,1351
0, H H H E C H,11
0, H H H E C E,517
0, H H H E H C,16
0, H H H E H H,32
0, H H H E H E,8
0, H H H E E C,973
0, H H H E E H,39
0, H H H E E E,12558
0, H H E C C C,1118
0, H H E C C H,163
0, H H E C C E,137
0, H H E C H C,0
0, H H E C H H,11
0, H H E C H E,0
0, H H E C E C,35
0, H H E C E H,0
0, H H E C E E,484
0, H H E H C C,14
0, H H E H C H,7
0, H H E H C E,0
0, H H E H H C,11
0, H H E H H H,49
0, H H E H H E,0
0, H H E H E C,7
0, H H E H E H,1
0, H H E H E E,13
0, H H E E C C,941
0, H H E E C H,128
0, H H E E C E,18
0, H H E E H C,6
0, H H E E H H,42
0, H H E E H E,1
0, H H E E E C,3003
0, H H E E E H,34
0, H H E E E E,9988
0, H E C C C C,989
0, H E C C C H,125
0, H E C C C E,50
0, H E C C H C,40
0, H E C C H H,127
0, H E C C H E,0
0, H E C C E C,36
0, H E C C E H,0
0, H E C C E E,104
0, H E C H C C,0
0, H E C H C H,0
0, H E C H C E,0
0, H E C H H C,1
0, H E C H H H,14
0, H E C H H E,1
0, H E C H E C,0
0, H E C H E H,0
0, H E C H E E,0
0, H E C E C C,26
0, H E C E C H,16
0, H E C E C E,3
0, H E C E H C,0
0, H E C E H H,0
0, H E C E H E,0
0, H E C E E C,47
0, H E C E E H,0
0, H E C E E E,452
0, H E H C C C,22
0, H E H C C H,1
0, H E H C C E,1
0, H E H C H C,0
0, H E H C H H,7
0, H E H C H E,0
0, H E H C E C,0
0, H E H C E H,0
0, H E H C E E,0
0, H E H H C C,11
0, H E H H C H,4
0, H E H H C E,0
0, H E H H H C,3
0, H E H H H H,77
0, H E H H H E,2
0, H E H H E C,1
0, H E H H E H,6
0, H E H H E E,1
0, H E H E C C,5
0, H E H E C H,1
0, H E H E C E,1
0, H E H E H C,0
0, H E H E H H,1
0, H E H E H E,0
0, H E H E E C,12
0, H E H E E H,0
0, H E H E E E,3
0, H E E C C C,781
0, H E E C C H,208
0, H E E C C E,84
0, H E E C H C,3
0, H E E C H H,128
0, H E E C H E,0
0, H E E C E C,3
0, H E E C E H,1
0, H E E C E E,17
0, H E E H C C,7
0, H E E H C H,1
0, H E E H C E,0
0, H E E H H C,7
0, H E E H H H,41
0, H E E H H E,2
0, H E E H E C,0
0, H E E H E H,0
0, H E E H E E,2
0, H E E E C C,3019
0, H E E E C H,179
0, H E E E C E,19
0, H E E E H C,1
0, H E E E H H,31
0, H E E E H E,5
0, H E E E E C,2891
0, H E E E E H,63
0, H E E E E E,7678
0, E C C C C C,429819
0, E C C C C H,49433
0, E C C C C E,59898
0, E C C C H C,2468
0, E C C C H H,56394
0, E C C C H E,59
0, E C C C E C,3162
0, E C C C E H,198
0, E C C C E E,33551
0, E C C H C C,2157
0, E C C H C H,646
0, E C C H C E,38
0, E C C H H C,2825
0, E C C H H H,70011
0, E C C H H E,26
0, E C C H E C,1
0, E C C H E H,4
0, E C C H E E,44
0, E C C E C C,2551
0, E C C E C H,139
0, E C C E C E,242
0, E C C E H C,3
0, E C C E H H,119
0, E C C E H E,4
0, E C C E E C,9448
0, E C C E E H,1007
0, E C C E E E,52987
0, E C H C C C,1149
0, E C H C C H,111
0, E C H C C E,77
0, E C H C H C,158
0, E C H C H H,145
0, E C H C H E,11
0, E C H C E C,0
0, E C H C E H,0
0, E C H C E E,4
0, E C H H C C,2009
0, E C H H C H,179
0, E C H H C E,27
0, E C H H H C,8039
0, E C H H H H,47398
0, E C H H H E,215
0, E C H H E C,1
0, E C H H E H,2
0, E C H H E E,43
0, E C H E C C,0
0, E C H E C H,0
0, E C H E C E,0
0, E C H E H C,0
0, E C H E H H,0
0, E C H E H E,0
0, E C H E E C,1
0, E C H E E H,0
0, E C H E E E,10
0, E C E C C C,2868
0, E C E C C H,219
0, E C E C C E,405
0, E C E C H C,5
0, E C E C H H,209
0, E C E C H E,0
0, E C E C E C,62
0, E C E C E H,2
0, E C E C E E,325
0, E C E H C C,4
0, E C E H C H,0
0, E C E H C E,0
0, E C E H H C,11
0, E C E H H H,310
0, E C E H H E,0
0, E C E H E C,0
0, E C E H E H,0
0, E C E H E E,4
0, E C E E C C,2926
0, E C E E C H,127
0, E C E E C E,70
0, E C E E H C,5
